name,chemical_name,cas_number,purity_grade,smiles,inchikey,molecular_formula,molecular_weight,identifier_source
RW_80,"novel analog, 2-(2,6-dioxopiperidin-3-yl)isoindole-1,3-dione core (phthalimide-glutarimide)","none - novel compound, not registered",>=95% (HPLC),O=C1CCC(N2C(=O)c3cc(F)c(-c4ccc(N5CCNCC5)cc4)cc3C2=O)C(=O)N1,WWNGZLOXSAIZPI-UHFFFAOYSA-N,C23H21FN4O4,436.44,no PubChem record (exact-structure search)
RW_72,"novel analog, 3-(3-oxo-2,3-dihydro-1H-isoindol-2-yl)piperidine-2,6-dione core (isoindolinone-glutarimide)","none - novel compound, not registered",>=95% (HPLC),O=C1CCC(N2Cc3cccc(-c4ccc(N5CCNCC5)cc4)c3C2=O)C(=O)N1,JIMGBDVCJBOURH-UHFFFAOYSA-N,C23H24N4O3,404.47,no PubChem record (exact-structure search)
RW_672,"novel analog, 3-(3-oxo-2,3-dihydro-1H-isoindol-2-yl)piperidine-2,6-dione core (isoindolinone-glutarimide)","none - novel compound, not registered",>=95% (HPLC),Cc1cc2c(cc1-c1ccc(N3CCNCC3)cc1)C(=O)N(C1CCC(=O)NC1=O)C2,KNVLAWDRVDHHPB-UHFFFAOYSA-N,C24H26N4O3,418.5,no PubChem record (exact-structure search)
TZ_6,"2-(2,6-dioxopiperidin-3-yl)-4-ethylisoindole-1,3-dione",244057-33-8,>=95% (HPLC),CCc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,FAZWECWNUTULOK-UHFFFAOYSA-N,C15H14N2O4,286.29,PubChem CID 9925896
TZ_118,"novel analog, 2-(2,6-dioxopiperidin-3-yl)isoindole-1,3-dione core (phthalimide-glutarimide)","none - novel compound, not registered",>=95% (HPLC),COc1ccc2c(c1C#N)C(=O)N(C1CCC(=O)NC1=O)C2=O,BKXHWCINNYDWKN-UHFFFAOYSA-N,C15H11N3O5,313.27,no PubChem record (exact-structure search)
Z6466608628_positive_control,"3-[3-oxo-7-(4-piperazin-1-ylphenyl)-1H-isoindol-2-yl]piperidine-2,6-dione",2869183-63-9,>=98% (HPLC),O=C1CCC(N2Cc3c(cccc3-c3ccc(N4CCNCC4)cc3)C2=O)C(=O)N1,KMGAXUJZURDCDU-UHFFFAOYSA-N,C23H24N4O3,404.47,PubChem CID 166423045
TM-04-064-02_positive_control,"novel analog, 2-(2,6-dioxopiperidin-3-yl)isoindole-1,3-dione core (phthalimide-glutarimide)","none - novel compound, not registered",>=98% (HPLC),O=C(NCCCCCCCCNC1=CC=CC2=C1C(N(C2=O)C3CCC(NC3=O)=O)=O)CCN4C=NC5=C(N=CN=C54)N,CKDWGAXWKUCVPQ-UHFFFAOYSA-N,C29H35N9O5,589.66,no PubChem record (exact-structure search)
negctrl_no_glutarimide,study-specific negative control fragment (see PROTOCOL_LOCK.md section 7),"none - novel compound, not registered",>=98% (HPLC),CN1Cc2c(cccc2-c2ccc(N3CCNCC3)cc2)C1=O,XEFJEGLFKNQLMH-UHFFFAOYSA-N,C19H21N3O,307.4,no PubChem record (exact-structure search)
negctrl_no_ppil4_arm,"3-(3-oxo-1H-isoindol-2-yl)piperidine-2,6-dione",26581-81-7,>=98% (HPLC),O=C1CCC(N2Cc3ccccc3C2=O)C(=O)N1,WENKGSGGXGQHSH-UHFFFAOYSA-N,C13H12N2O3,244.25,PubChem CID 91585
negctrl_no_crbn_ppil4_arm,study-specific negative control fragment (see PROTOCOL_LOCK.md section 7),"none - novel compound, not registered",>=98% (HPLC),COc1cscc1-c1c[nH]nn1,CMPAJFIBFWYECR-UHFFFAOYSA-N,C7H7N3OS,181.22,no PubChem record (exact-structure search)
