vina_rank,molecule,canonical_smiles,vina_score_kcal_mol,best_haddock_score,best_model,models_scored,status
219,1263,N#Cc1c(I)c(Br)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,-8.656,-100.954,emscoring_9.pdb,20,completed
27,575,Cc1cc2c(c(Br)c1C)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.622,-100.888,emscoring_10.pdb,20,completed
223,1264,N#Cc1c(I)c(I)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,-8.627,-100.773,emscoring_9.pdb,20,completed
145,378,COc1cc2c(c(F)c1C)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.176,-100.611,emscoring_12.pdb,20,completed
146,870,CCc1c(I)c(C#N)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.175,-100.241,emscoring_12.pdb,20,completed
231,340,N#Cc1cc2c(c(F)c1F)C(=O)N(C1CCC(=O)NC1=O)C2=O,-8.451,-100.040,emscoring_16.pdb,20,completed
32,343,O=C1CCC(N2C(=O)c3cc(Br)c(Cl)c(F)c3C2=O)C(=O)N1,-9.599,-99.780,emscoring_3.pdb,20,completed
131,466,CCc1cc2c(c(Cl)c1I)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.222,-99.754,emscoring_10.pdb,20,completed
85,143,O=C1CCC(N2C(=O)c3cc(Br)cc(Br)c3C2=O)C(=O)N1,-9.392,-99.623,emscoring_9.pdb,20,completed
221,220,N#Cc1cc(C#N)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,-8.653,-99.317,emscoring_15.pdb,20,completed
150,696,CCc1cc2c(c(I)c1O)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.16,-99.116,emscoring_2.pdb,20,completed
74,33,O=C1CCC(N2C(=O)c3ccc(Br)c(Cl)c3C2=O)C(=O)N1,-9.435,-99.084,emscoring_17.pdb,20,completed
227,20,N#Cc1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,-8.546,-99.026,emscoring_9.pdb,20,completed
132,965,Cc1cc2c(c(O)c1I)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.219,-98.842,emscoring_5.pdb,20,completed
222,1254,N#Cc1c(Br)c(I)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,-8.634,-98.823,emscoring_9.pdb,20,completed
151,177,CCc1cc(O)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.148,-98.506,emscoring_16.pdb,20,completed
16,755,Cc1cc2c(c(C)c1Br)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.676,-98.365,emscoring_6.pdb,20,completed
130,990,CCc1c(C#N)cc2c(c1O)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.235,-98.201,emscoring_7.pdb,20,completed
30,1327,N#Cc1c(O)cc2c(c1C#N)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.604,-98.153,emscoring_1.pdb,20,completed
244,1275,Cc1cc2c(c(C#N)c1C)C(=O)N(C1CCC(=O)NC1=O)C2=O,-8.356,-98.002,emscoring_16.pdb,20,completed
224,400,N#Cc1cc2c(c(F)c1O)C(=O)N(C1CCC(=O)NC1=O)C2=O,-8.626,-97.536,emscoring_18.pdb,20,completed
41,335,Cc1cc2c(c(F)c1F)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.572,-97.482,emscoring_16.pdb,20,completed
50,354,O=C1CCC(N2C(=O)c3cc(I)c(Br)c(F)c3C2=O)C(=O)N1,-9.527,-97.089,emscoring_15.pdb,20,completed
112,578,COc1cc2c(c(Br)c1C)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.291,-97.030,emscoring_12.pdb,20,completed
45,364,O=C1CCC(N2C(=O)c3cc(I)c(I)c(F)c3C2=O)C(=O)N1,-9.547,-96.911,emscoring_16.pdb,20,completed
236,1295,Cc1cc2c(c(C#N)c1O)C(=O)N(C1CCC(=O)NC1=O)C2=O,-8.41,-96.757,emscoring_17.pdb,20,completed
86,677,Cc1c(O)cc2c(c1I)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.388,-96.415,emscoring_17.pdb,20,completed
164,73,CCc1c(Br)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.101,-95.994,emscoring_17.pdb,20,completed
166,74,CCc1c(I)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.091,-95.574,emscoring_16.pdb,20,completed
15,1257,N#Cc1c(Br)c(O)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.689,-95.319,emscoring_17.pdb,20,completed
51,443,O=C1CCC(N2C(=O)c3cc(Br)c(Cl)c(Cl)c3C2=O)C(=O)N1,-9.522,-95.119,emscoring_12.pdb,20,completed
57,217,N#Cc1cc(O)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.49,-95.116,emscoring_15.pdb,20,completed
249,321,O=C1CCC(N2C(=O)c3cc(O)c(O)cc3C2=O)C(=O)N1,-8.329,-94.279,emscoring_10.pdb,20,completed
240,1276,CCc1cc2c(c(C#N)c1C)C(=O)N(C1CCC(=O)NC1=O)C2=O,-8.374,-94.097,emscoring_14.pdb,20,completed
154,384,CCc1c(I)cc2c(c1F)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.13,-93.910,emscoring_10.pdb,20,completed
9,530,N#Cc1cc2c(c(Cl)c1C#N)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.756,-93.827,emscoring_6.pdb,20,completed
5,730,N#Cc1cc2c(c(I)c1C#N)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.791,-93.703,emscoring_11.pdb,20,completed
194,884,CCc1c(I)cc2c(c1CC)C(=O)N(C1CCC(=O)NC1=O)C2=O,-8.918,-93.636,emscoring_10.pdb,20,completed
243,1328,COc1cc2c(c(C#N)c1C#N)C(=O)N(C1CCC(=O)NC1=O)C2=O,-8.359,-93.295,emscoring_20.pdb,20,completed
242,330,N#Cc1cc2c(cc1C#N)C(=O)N(C1CCC(=O)NC1=O)C2=O,-8.359,-92.992,emscoring_4.pdb,20,completed
228,163,Cc1cc(Br)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,-8.522,-92.876,emscoring_3.pdb,20,completed
108,57,O=C1CCC(N2C(=O)c3ccc(O)c(I)c3C2=O)C(=O)N1,-9.311,-92.141,emscoring_16.pdb,20,completed
98,7,O=C1CCC(N2C(=O)c3cccc(O)c3C2=O)C(=O)N1,-9.355,-92.045,emscoring_16.pdb,20,completed
107,678,COc1cc2c(c(I)c1C)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.319,-91.477,emscoring_12.pdb,20,completed
129,16,CCc1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.238,-91.357,emscoring_11.pdb,20,completed
37,664,O=C1CCC(N2C(=O)c3cc(I)c(I)c(I)c3C2=O)C(=O)N1,-9.584,-91.086,emscoring_9.pdb,20,completed
84,534,O=C1CCC(N2C(=O)c3cc(I)c(F)c(Br)c3C2=O)C(=O)N1,-9.393,-90.950,emscoring_9.pdb,20,completed
172,483,CCc1c(Br)cc2c(c1Cl)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.066,-90.421,emscoring_14.pdb,20,completed
82,535,Cc1cc2c(c(Br)c1F)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.403,-90.387,emscoring_14.pdb,20,completed
126,6,CCc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.253,-90.121,emscoring_2.pdb,20,completed
232,680,Cc1c(C#N)cc2c(c1I)C(=O)N(C1CCC(=O)NC1=O)C2=O,-8.439,-90.079,emscoring_11.pdb,20,completed
93,653,O=C1CCC(N2C(=O)c3cc(Br)c(Br)c(I)c3C2=O)C(=O)N1,-9.372,-89.880,emscoring_9.pdb,20,completed
104,154,O=C1CCC(N2C(=O)c3cc(I)cc(I)c3C2=O)C(=O)N1,-9.332,-89.822,emscoring_2.pdb,20,completed
58,880,CCc1c(C)c(C#N)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.49,-89.559,emscoring_14.pdb,20,completed
33,375,Cc1cc2c(c(F)c1C)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.598,-89.543,emscoring_12.pdb,20,completed
128,3,O=C1CCC(N2C(=O)c3cccc(Br)c3C2=O)C(=O)N1,-9.246,-89.211,emscoring_9.pdb,20,completed
11,430,N#Cc1cc2c(c(F)c1C#N)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.73,-89.173,emscoring_4.pdb,20,completed
201,58,COc1ccc2c(c1I)C(=O)N(C1CCC(=O)NC1=O)C2=O,-8.879,-88.821,emscoring_12.pdb,20,completed
105,15,Cc1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.329,-88.739,emscoring_3.pdb,20,completed
14,1030,N#Cc1cc2c(c(O)c1C#N)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.707,-88.695,emscoring_8.pdb,20,completed
36,441,O=C1CCC(N2C(=O)c3cc(F)c(Cl)c(Cl)c3C2=O)C(=O)N1,-9.59,-88.674,emscoring_9.pdb,20,completed
6,630,N#Cc1cc2c(c(Br)c1C#N)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.79,-88.086,emscoring_18.pdb,20,completed
61,543,O=C1CCC(N2C(=O)c3cc(Br)c(Cl)c(Br)c3C2=O)C(=O)N1,-9.475,-88.012,emscoring_9.pdb,20,completed
195,883,CCc1c(Br)cc2c(c1CC)C(=O)N(C1CCC(=O)NC1=O)C2=O,-8.916,-87.931,emscoring_2.pdb,20,completed
78,533,O=C1CCC(N2C(=O)c3cc(Br)c(F)c(Br)c3C2=O)C(=O)N1,-9.415,-87.891,emscoring_9.pdb,20,completed
205,876,CCc1cc2c(c(CC)c1C)C(=O)N(C1CCC(=O)NC1=O)C2=O,-8.854,-87.618,emscoring_10.pdb,20,completed
233,150,N#Cc1cc(Br)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,-8.428,-87.455,emscoring_6.pdb,20,completed
119,955,Cc1cc2c(c(O)c1Br)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.283,-87.334,emscoring_19.pdb,20,completed
38,355,Cc1cc2c(c(F)c1Br)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.583,-87.321,emscoring_16.pdb,20,completed
62,462,O=C1CCC(N2C(=O)c3cc(Cl)c(I)c(Cl)c3C2=O)C(=O)N1,-9.475,-87.319,emscoring_9.pdb,20,completed
52,117,N#Cc1c(O)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.516,-87.264,emscoring_14.pdb,20,completed
179,977,Cc1c(O)cc2c(c1O)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.024,-87.264,emscoring_5.pdb,20,completed
114,828,COc1cc2c(c(C)c1C#N)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.289,-87.213,emscoring_9.pdb,20,completed
22,980,Cc1c(C#N)cc2c(c1O)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.635,-87.096,emscoring_5.pdb,20,completed
46,63,Cc1c(Br)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.542,-86.913,emscoring_3.pdb,20,completed
184,687,CCc1c(O)cc2c(c1I)C(=O)N(C1CCC(=O)NC1=O)C2=O,-8.959,-86.555,emscoring_11.pdb,20,completed
157,758,COc1cc2c(c(C)c1Br)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.123,-86.487,emscoring_12.pdb,20,completed
73,433,O=C1CCC(N2C(=O)c3cc(Br)c(F)c(Cl)c3C2=O)C(=O)N1,-9.438,-86.438,emscoring_9.pdb,20,completed
79,171,CCc1cc(F)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.406,-86.310,emscoring_9.pdb,20,completed
34,663,O=C1CCC(N2C(=O)c3cc(Br)c(I)c(I)c3C2=O)C(=O)N1,-9.594,-86.155,emscoring_6.pdb,20,completed
110,296,O=C1CCC(N2C(=O)c3cc(Br)c(I)cc3C2=O)C(=O)N1,-9.309,-85.941,emscoring_4.pdb,20,completed
165,484,CCc1c(I)cc2c(c1Cl)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.096,-85.866,emscoring_11.pdb,20,completed
199,17,O=C1CCC(N2C(=O)c3ccc(O)cc3C2=O)C(=O)N1,-8.901,-85.814,emscoring_10.pdb,20,completed
35,1278,COc1cc2c(c(C#N)c1C)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.594,-85.769,emscoring_20.pdb,20,completed
72,1027,N#Cc1c(O)cc2c(c1O)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.439,-85.689,emscoring_19.pdb,20,completed
44,763,Cc1c(I)c(Br)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.551,-85.661,emscoring_10.pdb,20,completed
106,790,CCc1c(C#N)cc2c(c1C)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.325,-85.613,emscoring_10.pdb,20,completed
217,1324,N#Cc1c(I)cc2c(c1C#N)C(=O)N(C1CCC(=O)NC1=O)C2=O,-8.712,-85.597,emscoring_18.pdb,20,completed
94,216,CCc1cc(C#N)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.372,-85.549,emscoring_10.pdb,20,completed
141,173,CCc1cc(Br)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.181,-85.541,emscoring_10.pdb,20,completed
158,28,COc1ccc2c(c1F)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.119,-85.522,emscoring_12.pdb,20,completed
28,753,Cc1c(Br)c(Br)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.61,-85.463,emscoring_11.pdb,20,completed
103,141,O=C1CCC(N2C(=O)c3cc(F)cc(Br)c3C2=O)C(=O)N1,-9.337,-85.119,emscoring_9.pdb,20,completed
55,463,O=C1CCC(N2C(=O)c3cc(Br)c(I)c(Cl)c3C2=O)C(=O)N1,-9.492,-84.958,emscoring_3.pdb,20,completed
100,865,CCc1c(I)c(C)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.353,-84.691,emscoring_4.pdb,20,completed
214,318,CCc1cc2c(cc1OC)C(=O)N(C1CCC(=O)NC1=O)C2=O,-8.751,-84.570,emscoring_11.pdb,20,completed
101,303,O=C1CCC(N2C(=O)c3cc(I)c(I)cc3C2=O)C(=O)N1,-9.35,-84.495,emscoring_12.pdb,20,completed
238,85,Cc1ccc2c(c1O)C(=O)N(C1CCC(=O)NC1=O)C2=O,-8.403,-84.482,emscoring_5.pdb,20,completed
127,200,COc1cc(C#N)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.253,-83.712,emscoring_16.pdb,20,completed
40,442,O=C1CCC(N2C(=O)c3cc(Cl)c(Cl)c(Cl)c3C2=O)C(=O)N1,-9.574,-83.699,emscoring_14.pdb,20,completed
81,544,O=C1CCC(N2C(=O)c3cc(I)c(Cl)c(Br)c3C2=O)C(=O)N1,-9.403,-83.500,emscoring_9.pdb,20,completed
47,1291,N#Cc1c(O)c(F)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.542,-83.248,emscoring_20.pdb,20,completed
147,172,CCc1cc(Cl)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.171,-83.208,emscoring_9.pdb,20,completed
182,946,CCc1cc2c(c(O)c1Cl)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.003,-83.084,emscoring_1.pdb,20,completed
148,766,CCc1cc2c(c(C)c1I)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.165,-82.904,emscoring_5.pdb,20,completed
83,554,O=C1CCC(N2C(=O)c3cc(I)c(Br)c(Br)c3C2=O)C(=O)N1,-9.394,-82.675,emscoring_14.pdb,20,completed
191,796,CCc1cc2c(c(C)c1O)C(=O)N(C1CCC(=O)NC1=O)C2=O,-8.929,-82.636,emscoring_6.pdb,20,completed
42,333,O=C1CCC(N2C(=O)c3cc(Br)c(F)c(F)c3C2=O)C(=O)N1,-9.569,-82.483,emscoring_15.pdb,20,completed
48,334,O=C1CCC(N2C(=O)c3cc(I)c(F)c(F)c3C2=O)C(=O)N1,-9.534,-82.482,emscoring_4.pdb,20,completed
2,113,N#Cc1c(Br)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.806,-82.423,emscoring_9.pdb,20,completed
136,320,CCc1cc2c(cc1C#N)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.203,-82.407,emscoring_9.pdb,20,completed
143,14,O=C1CCC(N2C(=O)c3ccc(I)cc3C2=O)C(=O)N1,-9.179,-82.145,emscoring_19.pdb,20,completed
196,487,CCc1c(O)cc2c(c1Cl)C(=O)N(C1CCC(=O)NC1=O)C2=O,-8.915,-81.960,emscoring_10.pdb,20,completed
198,196,CCc1cc(OC)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,-8.907,-81.872,emscoring_16.pdb,20,completed
