haddock_rank,guided_selection_rank,vina_rank,molecule,canonical_smiles,rf_active_probability,vina_score_kcal_mol,pocket_centroid_distance_angstrom,ppil4_min_distance_angstrom,composite_pre_haddock_score,max_similarity_to_other_selected,models_scored,best_haddock_score,mean_best_10_haddock_score,sd_best_10_haddock_score,median_haddock_score,worst_haddock_score,batch_status,started_at,finished_at,elapsed_minutes,return_code,guided_config,run_directory,launcher_log
18,12,69,181,O=C1CCC(N2C(=O)c3cc(F)cc(O)c3C2=O)C(=O)N1,0.982,-9.449,1.359,2.253755310587191,0.5695832809118389,0.7391304347826086,200,-335.665,-333.825,0.837,-319.407,-311.550,complete,2026-07-26T01:34:54,2026-07-26T02:00:07,25.22,0,haddock3_ternary/guided_ppil4_9DWV/rank069_molecule_181/guided_ppil4_haddock.cfg,haddock3_ternary/guided_ppil4_9DWV/rank069_molecule_181/run,haddock3_ternary/guided_ppil4_9DWV/rank069_molecule_181/guided_haddock_launcher.log
,13,128,3,O=C1CCC(N2C(=O)c3cccc(Br)c3C2=O)C(=O)N1,0.984,-9.246,1.359,2.6816004549522274,0.5782704404429773,0.7441860465116279,0,,,,,,failed,2026-07-26T02:00:07,2026-07-26T02:00:11,0.07,1,haddock3_ternary/guided_ppil4_9DWV/rank128_molecule_3/guided_ppil4_haddock.cfg,haddock3_ternary/guided_ppil4_9DWV/rank128_molecule_3/run,haddock3_ternary/guided_ppil4_9DWV/rank128_molecule_3/guided_haddock_launcher.log
12,14,59,64,Cc1c(I)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.98,-9.478,1.26,2.2837368499894883,0.5698634628732235,0.7555555555555555,200,-339.073,-336.187,1.696,-323.640,-312.200,complete,2026-07-26T02:00:11,2026-07-26T02:25:54,25.72,0,haddock3_ternary/guided_ppil4_9DWV/rank059_molecule_64/guided_ppil4_haddock.cfg,haddock3_ternary/guided_ppil4_9DWV/rank059_molecule_64/run,haddock3_ternary/guided_ppil4_9DWV/rank059_molecule_64/guided_haddock_launcher.log
7,15,143,14,O=C1CCC(N2C(=O)c3ccc(I)cc3C2=O)C(=O)N1,0.986,-9.179,1.426,2.2858409830957007,0.5497740744010022,0.7317073170731707,200,-339.911,-337.066,1.515,-321.496,-312.249,complete,2026-07-26T02:25:54,2026-07-26T02:52:06,26.20,0,haddock3_ternary/guided_ppil4_9DWV/rank143_molecule_14/guided_ppil4_haddock.cfg,haddock3_ternary/guided_ppil4_9DWV/rank143_molecule_14/run,haddock3_ternary/guided_ppil4_9DWV/rank143_molecule_14/guided_haddock_launcher.log
,16,74,33,O=C1CCC(N2C(=O)c3ccc(Br)c(Cl)c3C2=O)C(=O)N1,0.98,-9.435,1.294,2.273636074661012,0.5515797803192332,0.7555555555555555,0,,,,,,failed,2026-07-26T02:52:06,2026-07-26T02:52:09,0.05,1,haddock3_ternary/guided_ppil4_9DWV/rank074_molecule_33/guided_ppil4_haddock.cfg,haddock3_ternary/guided_ppil4_9DWV/rank074_molecule_33/run,haddock3_ternary/guided_ppil4_9DWV/rank074_molecule_33/guided_haddock_launcher.log
13,17,178,186,CCc1cc(O)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.98,-9.029,1.078,2.440443812096462,0.5068452838260515,0.6938775510204082,200,-339.214,-336.064,2.844,-319.868,-312.411,complete,2026-07-26T02:52:09,2026-07-26T03:18:05,25.93,0,haddock3_ternary/guided_ppil4_9DWV/rank178_molecule_186/guided_ppil4_haddock.cfg,haddock3_ternary/guided_ppil4_9DWV/rank178_molecule_186/run,haddock3_ternary/guided_ppil4_9DWV/rank178_molecule_186/guided_haddock_launcher.log
8,18,248,337,O=C1CCC(N2C(=O)c3cc(O)c(F)c(F)c3C2=O)C(=O)N1,0.986,-8.331,0.705,2.898005003446328,0.5259353468653326,0.8043478260869565,200,-339.834,-336.540,2.150,-320.990,-312.273,complete,2026-07-26T03:18:05,2026-07-26T03:43:54,25.82,0,haddock3_ternary/guided_ppil4_9DWV/rank248_molecule_337/guided_ppil4_haddock.cfg,haddock3_ternary/guided_ppil4_9DWV/rank248_molecule_337/run,haddock3_ternary/guided_ppil4_9DWV/rank248_molecule_337/guided_haddock_launcher.log
,19,70,45,Cc1ccc2c(c1Br)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.978,-9.448,1.289,2.3181257515501614,0.5298811457050402,0.7555555555555555,0,,,,,,failed,2026-07-26T03:43:54,2026-07-26T03:43:58,0.07,1,haddock3_ternary/guided_ppil4_9DWV/rank070_molecule_45/guided_ppil4_haddock.cfg,haddock3_ternary/guided_ppil4_9DWV/rank070_molecule_45/run,haddock3_ternary/guided_ppil4_9DWV/rank070_molecule_45/guided_haddock_launcher.log
,20,226,1323,N#Cc1c(Br)cc2c(c1C#N)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.984,-8.586,1.025,2.4130953151502257,0.46423614498235605,0.7346938775510204,0,,,,,,failed,2026-07-26T03:43:58,2026-07-26T03:44:01,0.05,1,haddock3_ternary/guided_ppil4_9DWV/rank226_molecule_1323/guided_ppil4_haddock.cfg,haddock3_ternary/guided_ppil4_9DWV/rank226_molecule_1323/run,haddock3_ternary/guided_ppil4_9DWV/rank226_molecule_1323/guided_haddock_launcher.log
4,21,79,171,CCc1cc(F)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.976,-9.406,1.189,2.1256787151401757,0.4966208522034721,0.7083333333333334,200,-356.861,-338.498,6.656,-322.981,-314.757,complete,2026-07-26T03:44:01,2026-07-26T04:09:54,25.88,0,haddock3_ternary/guided_ppil4_9DWV/rank079_molecule_171/guided_ppil4_haddock.cfg,haddock3_ternary/guided_ppil4_9DWV/rank079_molecule_171/run,haddock3_ternary/guided_ppil4_9DWV/rank079_molecule_171/guided_haddock_launcher.log
11,22,95,34,O=C1CCC(N2C(=O)c3ccc(I)c(Cl)c3C2=O)C(=O)N1,0.978,-9.369,1.328,2.1942256037153434,0.4933895209718264,0.7555555555555555,200,-338.368,-336.324,1.110,-321.583,-313.243,complete,2026-07-26T04:09:54,2026-07-26T04:35:53,25.98,0,haddock3_ternary/guided_ppil4_9DWV/rank095_molecule_34/guided_ppil4_haddock.cfg,haddock3_ternary/guided_ppil4_9DWV/rank095_molecule_34/run,haddock3_ternary/guided_ppil4_9DWV/rank095_molecule_34/guided_haddock_launcher.log
1,23,116,119,N#Cc1c(N)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.974,-9.288,1.167,2.3335093743115785,0.4577730619517498,0.7115384615384616,200,-359.491,-341.094,6.723,-324.986,-315.332,complete,2026-07-26T04:35:53,2026-07-26T05:01:47,25.90,0,haddock3_ternary/guided_ppil4_9DWV/rank116_molecule_119/guided_ppil4_haddock.cfg,haddock3_ternary/guided_ppil4_9DWV/rank116_molecule_119/run,haddock3_ternary/guided_ppil4_9DWV/rank116_molecule_119/guided_haddock_launcher.log
,24,233,150,N#Cc1cc(Br)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.984,-8.428,0.763,2.2143326308393747,0.46384235348355457,0.7346938775510204,0,,,,,,failed,2026-07-26T05:01:47,2026-07-26T05:01:51,0.07,1,haddock3_ternary/guided_ppil4_9DWV/rank233_molecule_150/guided_ppil4_haddock.cfg,haddock3_ternary/guided_ppil4_9DWV/rank233_molecule_150/run,haddock3_ternary/guided_ppil4_9DWV/rank233_molecule_150/guided_haddock_launcher.log
,25,228,163,Cc1cc(Br)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.972,-8.522,0.503,2.943767314174122,0.41234347956858064,0.7021276595744681,0,,,,,,failed,2026-07-26T05:01:51,2026-07-26T05:01:54,0.05,1,haddock3_ternary/guided_ppil4_9DWV/rank228_molecule_163/guided_ppil4_haddock.cfg,haddock3_ternary/guided_ppil4_9DWV/rank228_molecule_163/run,haddock3_ternary/guided_ppil4_9DWV/rank228_molecule_163/guided_haddock_launcher.log
14,26,180,71,CCc1c(F)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.976,-9.02,1.257,2.4032122253350834,0.4073177337247587,0.66,200,-339.701,-335.188,2.882,-321.563,-312.878,complete,2026-07-26T05:01:54,2026-07-26T05:27:43,25.82,0,haddock3_ternary/guided_ppil4_9DWV/rank180_molecule_71/guided_ppil4_haddock.cfg,haddock3_ternary/guided_ppil4_9DWV/rank180_molecule_71/run,haddock3_ternary/guided_ppil4_9DWV/rank180_molecule_71/guided_haddock_launcher.log
,27,246,537,O=C1CCC(N2C(=O)c3cc(O)c(F)c(Br)c3C2=O)C(=O)N1,0.982,-8.345,0.731,2.64420668632389,0.45088201689298296,0.8043478260869565,0,,,,,,failed,2026-07-26T05:27:43,2026-07-26T05:27:46,0.05,1,haddock3_ternary/guided_ppil4_9DWV/rank246_molecule_537/guided_ppil4_haddock.cfg,haddock3_ternary/guided_ppil4_9DWV/rank246_molecule_537/run,haddock3_ternary/guided_ppil4_9DWV/rank246_molecule_537/guided_haddock_launcher.log
,28,241,773,Cc1c(Br)cc2c(c1C)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.978,-8.365,0.752,2.532078592777078,0.3857274302426622,0.7391304347826086,0,,,,,,failed,2026-07-26T05:27:46,2026-07-26T05:27:49,0.05,1,haddock3_ternary/guided_ppil4_9DWV/rank241_molecule_773/guided_ppil4_haddock.cfg,haddock3_ternary/guided_ppil4_9DWV/rank241_molecule_773/run,haddock3_ternary/guided_ppil4_9DWV/rank241_molecule_773/guided_haddock_launcher.log
15,29,201,58,COc1ccc2c(c1I)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.976,-8.879,1.389,2.240118300447551,0.33379993702501737,0.7254901960784313,200,-338.904,-334.990,2.328,-322.049,-311.430,complete,2026-07-26T05:27:49,2026-07-26T05:53:46,25.95,0,haddock3_ternary/guided_ppil4_9DWV/rank201_molecule_58/guided_ppil4_haddock.cfg,haddock3_ternary/guided_ppil4_9DWV/rank201_molecule_58/run,haddock3_ternary/guided_ppil4_9DWV/rank201_molecule_58/guided_haddock_launcher.log
,30,202,107,Nc1c(O)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.974,-8.878,1.323,2.3004186575491032,0.3221598224012214,0.7555555555555555,0,,,,,,failed,2026-07-26T05:53:46,2026-07-26T05:53:59,0.22,1,haddock3_ternary/guided_ppil4_9DWV/rank202_molecule_107/guided_ppil4_haddock.cfg,haddock3_ternary/guided_ppil4_9DWV/rank202_molecule_107/run,haddock3_ternary/guided_ppil4_9DWV/rank202_molecule_107/guided_haddock_launcher.log

